structure_id,structure_name
1,鳞片形态规则
2,多数呈环状
3,少数呈不规则环状
4,鳞片平整有序
5,鳞片薄
6,表面光滑
7,表面光泽明亮
8,相邻刻度之间的距离很大
9,中国产羊绒
10,彩色羊绒
11,鳞片图案模糊
12,纤维光泽不如中国羊绒
13,大多数鳞片呈块状图案
14,几乎没有色素沉着
15,比中国羊绒更粗更长
16,蒙古产羊绒
17,有色羊绒
18,颜色种类比较多
19,具有与蒙古羊绒相同的特性
20,中国生产的棕色和灰色羊绒的平均纤维直径低于白色羊绒 <15μm
21,伊朗和阿富汗的羊绒平均纤维直径高于16μm
22,伊朗和阿富汗的羊绒
23,粗毛和细毛之间的纤维直径差异大于均质羊毛
24,中国本土细羊毛
25,棕色
26,"与棕色羊绒混纺时,很难观察其纤维鳞片的粗糙情况"
27,黑羊羊毛
28,刻度频率和刻度高度都很高
29,澳大利亚美丽诺羊毛
30,呈现出与丝绸相似的光泽效果
31,纤维轴向不均匀
32,鳞片间距较大
33,鳞片部分脱落
34,改性羊毛
35,纤维较细
36,色素沉着少
37,鳞片易清晰
38,显示出倾斜的条状图案
39,模糊和无序的鳞片
40,鳞片高度低于羊毛
41,轴向纤维均匀度高于羊毛
42,骆驼毛和脱色骆驼毛
43,颜色比有色骆驼色深
44,鳞片紧密而规则地包裹着纤维轴
45,鳞片边缘薄
46,鳞片频率高
47,轴向纤维直径均匀度高
48,牦牛和脱色牦牛毛
49,扁平而宽阔的鳞片
50,像瓷砖一样紧密而规则地环绕着纤维轴
51,与羊绒相似的鳞片
52,纤维有较亮的斑点
53,很少有髓质
54,纤维均匀度高、笔直
55,光泽亮、光滑
56,马海毛
57,平均纤维直径大于19μm
58,形态属于羊绒与山羊粗毛之间的过渡型
59,纤维曲率低
60,细纤维的鳞片图案类似于来自蒙古的羊绒
61,粗纤维的鳞片图案类似于马海毛
62,俄罗斯的山羊毛
63,都有髓质
64,粗纤维可能有两列或更多的髓质
65,独特的鳞片图案和髓质
66,兔毛
67,以较大的纤维直径制成髓质
68,羊驼毛
69,细而高频的音阶具有清晰而规则的图案
70,大多数纤维有髓
71,山羊粗毛（直径≥30μm）
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
