structure_relation_id,structure1_set,structure2_set,Connection
1,鳞片形态规则,中国产羊绒,conection
2,鳞片平整有序,鳞片形态规则,conection
3,鳞片薄,鳞片平整有序,conection
4,少数呈不规则环状,中国产羊绒,conection
5,多数呈环状,少数呈不规则环状,conection
6,表面光滑,中国产羊绒,conection
7,表面光泽明亮,表面光滑,conection
8,相邻刻度之间的距离很大,中国产羊绒,conection
9,彩色羊绒,蒙古产羊绒,conection
10,比中国羊绒更粗更长,蒙古产羊绒,conection
11,鳞片图案模糊,蒙古产羊绒,conection
12,大多数鳞片呈块状图案,鳞片图案模糊,conection
13,纤维光泽不如中国羊绒,蒙古产羊绒,conection
14,几乎没有色素沉着,蒙古产羊绒,conection
15,有色羊绒,伊朗和阿富汗的羊绒,conection
16,颜色种类比较多,有色羊绒,conection
17,具有与蒙古羊绒相同的特性,伊朗和阿富汗的羊绒,conection
18,中国生产的棕色和灰色羊绒的平均纤维直径低于白色羊绒 <15μm,伊朗和阿富汗的羊绒,conection
19,伊朗和阿富汗的羊绒平均纤维直径高于16μm,中国生产的棕色和灰色羊绒的平均纤维直径低于白色羊绒 <15μm,conection
20,粗毛和细毛之间的纤维直径差异大于均质羊毛,中国本土细羊毛,conection
21,棕色,黑羊羊毛,conection
22,"与棕色羊绒混纺时,很难观察其纤维鳞片的粗糙情况",黑羊羊毛,conection
23,刻度频率和刻度高度都很高,澳大利亚美丽诺羊毛,conection
24,呈现出与丝绸相似的光泽效果,改性羊毛,conection
25,纤维轴向不均匀,改性羊毛,conection
26,鳞片间距较大,改性羊毛,conection
27,鳞片部分脱落,鳞片间距较大,conection
28,纤维较细,骆驼毛和脱色骆驼毛,conection
29,色素沉着少,骆驼毛和脱色骆驼毛,conection
30,鳞片易清晰,骆驼毛和脱色骆驼毛,conection
31,显示出倾斜的条状图案,轴向纤维均匀度高于羊毛,conection
32,模糊和无序的鳞片,鳞片高度低于羊毛,conection
33,鳞片高度低于羊毛,鳞片易清晰,conection
34,轴向纤维均匀度高于羊毛,纤维较细,conection
35,颜色比有色骆驼色深,牦牛和脱色牦牛毛,conection
36,鳞片紧密而规则地包裹着纤维轴,牦牛和脱色牦牛毛,conection
37,鳞片边缘薄,鳞片紧密而规则地包裹着纤维轴,conection
38,鳞片频率高,鳞片边缘薄,conection
39,轴向纤维直径均匀度高,牦牛和脱色牦牛毛,conection
40,扁平而宽阔的鳞片,马海毛,conection
41,像瓷砖一样紧密而规则地环绕着纤维轴,扁平而宽阔的鳞片,conection
42,与羊绒相似的鳞片,像瓷砖一样紧密而规则地环绕着纤维轴,conection
43,纤维有较亮的斑点,马海毛,conection
44,很少有髓质,马海毛,conection
45,纤维均匀度高、笔直,纤维有较亮的斑点,conection
46,光泽亮、光滑,纤维均匀度高、笔直,conection
47,平均纤维直径大于19μm,俄罗斯的山羊毛,conection
48,形态属于羊绒与山羊粗毛之间的过渡型,俄罗斯的山羊毛,conection
49,纤维曲率低,俄罗斯的山羊毛,conection
50,细纤维的鳞片图案类似于来自蒙古的羊绒,俄罗斯的山羊毛,conection
51,粗纤维的鳞片图案类似于马海毛,细纤维的鳞片图案类似于来自蒙古的羊绒,conection
52,都有髓质,兔毛,conection
53,粗纤维可能有两列或更多的髓质,兔毛,conection
54,独特的鳞片图案和髓质,兔毛,conection
55,以较大的纤维直径制成髓质,羊驼毛,conection
56,细而高频的音阶具有清晰而规则的图案,山羊粗毛（直径≥30μm）,conection
57,大多数纤维有髓,山羊粗毛（直径≥31μm）,conection
